amount,country,device,class,id,name,time,user
105.58811567582882,us,A,0,4908,D U,1524069185.929467,706
103.05136335611591,cn,C,0,6327,H M,1523752025.929467,229
96.18795562123033,ca,D,0,8452,T R,1523703665.929467,393
95.23629636133465,us,D,0,831,L L,1523918705.929467,583
94.36609540612496,us,C,0,7944,M S,1523930705.929467,262
90.87972197698522,us,D,0,1740,Z A,1523646065.929467,886
110.67162656957157,us,A,0,3051,B M,1523756465.929467,375
95.95427905383198,us,B,0,565,U U,1523831765.929467,755
102.55002577801436,us,B,0,2569,B T,1524406565.929467,243
121.65730092742399,us,A,0,6609,N N,1523612465.929467,748
93.07473319061064,us,C,0,9452,N R,1523769425.929467,18
110.57644157443363,us,D,0,74,Y V,1524495725.929467,177
94.5435460913497,us,E,0,2375,O K,1524100025.929467,941
123.39125265381534,us,D,0,8434,H N,1524368465.929467,982
110.38388294149422,us,A,0,5343,B U,1523785565.929467,755
68.98140228354795,cn,D,1,903,T U,1524355867.267056,5
92.11713464043964,ca,E,0,5482,S I,1524084545.929467,7
100.9082044663978,mx,C,0,4146,O U,1523766065.929467,390
112.30602211590143,cn,E,0,9906,T Y,1524527165.929467,478
73.26359702961315,mx,E,1,104,I P,1524250567.267056,0
102.03803682221424,us,D,0,1539,Y L,1524402785.929467,784
112.07310715424214,us,D,0,5054,S I,1523795585.929467,510
62.945181680021975,mx,D,1,127,N Y,1524126307.267056,8
102.51760809913021,us,D,0,6133,C L,1524290705.929467,377
101.38793207370205,us,A,0,6776,W Q,1524231545.929467,639
102.75450770417895,us,A,0,7885,V G,1524309305.929467,482
100.7277120958136,ca,B,0,7753,E T,1523727245.929467,269
84.09671516678787,ca,A,0,886,C N,1523909645.929467,666
104.813471818844,mx,E,0,5583,B K,1524204785.929467,44
98.06804068366354,us,A,0,5170,P H,1523677205.929467,362
82.5124603737507,us,E,0,9031,E A,1524270725.929467,489
69.89954255450792,cn,B,1,269,O S,1523951347.267056,0
69.00093145117962,mx,E,0,819,R V,1523938687.267056,9
104.86214229863899,us,B,0,1374,H G,1523985185.929467,38
81.88094488296048,us,E,0,4247,E F,1524259625.929467,817
109.07261551832718,us,A,0,5028,Y G,1524420365.929467,933
99.10270373693086,us,C,0,4578,W S,1524203165.929467,271
